text,label
NASA launches new satellite for climate monitoring.,0
NASA launches new satellite for climate monitoring.,0
Vaccination rates hit all-time high.,0
Government announces tax cuts for middle class.,0
Vaccination rates hit all-time high.,0
Scientists discover new species in Amazon.,0
NASA launches new satellite for climate monitoring.,0
"Phones cause mind control, experts claim.",1
Vaccination rates hit all-time high.,0
Man turns into wolf under full moon.,1
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
NASA launches new satellite for climate monitoring.,0
Prime Minister visits flood-affected areas.,0
Prime Minister visits flood-affected areas.,0
Man turns into wolf under full moon.,1
Drinking garlic cures cancer overnight.,1
Government to implant chips in all citizens.,1
Man turns into wolf under full moon.,1
Vaccination rates hit all-time high.,0
Vaccination rates hit all-time high.,0
NASA launches new satellite for climate monitoring.,0
Drinking garlic cures cancer overnight.,1
UN holds emergency meeting on global warming.,0
Drinking garlic cures cancer overnight.,1
Man turns into wolf under full moon.,1
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
"Phones cause mind control, experts claim.",1
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
Drinking garlic cures cancer overnight.,1
Man turns into wolf under full moon.,1
Drinking garlic cures cancer overnight.,1
Vaccination rates hit all-time high.,0
Drinking garlic cures cancer overnight.,1
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
"Phones cause mind control, experts claim.",1
NASA launches new satellite for climate monitoring.,0
Vaccination rates hit all-time high.,0
UN holds emergency meeting on global warming.,0
UN holds emergency meeting on global warming.,0
NASA launches new satellite for climate monitoring.,0
Prime Minister visits flood-affected areas.,0
Scientists discover new species in Amazon.,0
Man turns into wolf under full moon.,1
Government announces tax cuts for middle class.,0
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
Man turns into wolf under full moon.,1
NASA launches new satellite for climate monitoring.,0
Eating ice cream makes you immortal.,1
Scientists discover new species in Amazon.,0
UN holds emergency meeting on global warming.,0
Drinking garlic cures cancer overnight.,1
Prime Minister visits flood-affected areas.,0
Aliens spotted dancing in downtown New York.,1
NASA launches new satellite for climate monitoring.,0
Government announces tax cuts for middle class.,0
Vaccination rates hit all-time high.,0
Scientists discover new species in Amazon.,0
Government to implant chips in all citizens.,1
NASA launches new satellite for climate monitoring.,0
Government announces tax cuts for middle class.,0
Government to implant chips in all citizens.,1
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
NASA launches new satellite for climate monitoring.,0
Government announces tax cuts for middle class.,0
Government announces tax cuts for middle class.,0
Aliens spotted dancing in downtown New York.,1
Scientists discover new species in Amazon.,0
Aliens spotted dancing in downtown New York.,1
"Phones cause mind control, experts claim.",1
Prime Minister visits flood-affected areas.,0
Government announces tax cuts for middle class.,0
UN holds emergency meeting on global warming.,0
NASA launches new satellite for climate monitoring.,0
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
"Phones cause mind control, experts claim.",1
Government to implant chips in all citizens.,1
UN holds emergency meeting on global warming.,0
Government announces tax cuts for middle class.,0
Scientists discover new species in Amazon.,0
Aliens spotted dancing in downtown New York.,1
Prime Minister visits flood-affected areas.,0
UN holds emergency meeting on global warming.,0
Man turns into wolf under full moon.,1
Government announces tax cuts for middle class.,0
UN holds emergency meeting on global warming.,0
Scientists discover new species in Amazon.,0
Government to implant chips in all citizens.,1
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
Government announces tax cuts for middle class.,0
Vaccination rates hit all-time high.,0
Scientists discover new species in Amazon.,0
Prime Minister visits flood-affected areas.,0
Vaccination rates hit all-time high.,0
Drinking garlic cures cancer overnight.,1
Drinking garlic cures cancer overnight.,1
Aliens spotted dancing in downtown New York.,1
Aliens spotted dancing in downtown New York.,1
Aliens spotted dancing in downtown New York.,1
NASA launches new satellite for climate monitoring.,0
Aliens spotted dancing in downtown New York.,1
Government announces tax cuts for middle class.,0
NASA launches new satellite for climate monitoring.,0
Government to implant chips in all citizens.,1
Prime Minister visits flood-affected areas.,0
Aliens spotted dancing in downtown New York.,1
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
Eating ice cream makes you immortal.,1
Eating ice cream makes you immortal.,1
Scientists discover new species in Amazon.,0
Prime Minister visits flood-affected areas.,0
Scientists discover new species in Amazon.,0
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
Government announces tax cuts for middle class.,0
Scientists discover new species in Amazon.,0
Vaccination rates hit all-time high.,0
Government to implant chips in all citizens.,1
Vaccination rates hit all-time high.,0
Prime Minister visits flood-affected areas.,0
NASA launches new satellite for climate monitoring.,0
Aliens spotted dancing in downtown New York.,1
Drinking garlic cures cancer overnight.,1
Prime Minister visits flood-affected areas.,0
"Phones cause mind control, experts claim.",1
Vaccination rates hit all-time high.,0
Prime Minister visits flood-affected areas.,0
NASA launches new satellite for climate monitoring.,0
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
UN holds emergency meeting on global warming.,0
Prime Minister visits flood-affected areas.,0
Government to implant chips in all citizens.,1
Aliens spotted dancing in downtown New York.,1
Vaccination rates hit all-time high.,0
Drinking garlic cures cancer overnight.,1
Aliens spotted dancing in downtown New York.,1
Prime Minister visits flood-affected areas.,0
Man turns into wolf under full moon.,1
Man turns into wolf under full moon.,1
UN holds emergency meeting on global warming.,0
Prime Minister visits flood-affected areas.,0
Government to implant chips in all citizens.,1
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
NASA launches new satellite for climate monitoring.,0
Prime Minister visits flood-affected areas.,0
"Phones cause mind control, experts claim.",1
Vaccination rates hit all-time high.,0
Eating ice cream makes you immortal.,1
Government announces tax cuts for middle class.,0
Aliens spotted dancing in downtown New York.,1
NASA launches new satellite for climate monitoring.,0
"Phones cause mind control, experts claim.",1
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
Eating ice cream makes you immortal.,1
Government announces tax cuts for middle class.,0
UN holds emergency meeting on global warming.,0
UN holds emergency meeting on global warming.,0
Eating ice cream makes you immortal.,1
Government to implant chips in all citizens.,1
NASA launches new satellite for climate monitoring.,0
Scientists discover new species in Amazon.,0
"Phones cause mind control, experts claim.",1
"Phones cause mind control, experts claim.",1
Prime Minister visits flood-affected areas.,0
Vaccination rates hit all-time high.,0
Man turns into wolf under full moon.,1
Scientists discover new species in Amazon.,0
Government announces tax cuts for middle class.,0
Prime Minister visits flood-affected areas.,0
Vaccination rates hit all-time high.,0
Government to implant chips in all citizens.,1
Government to implant chips in all citizens.,1
NASA launches new satellite for climate monitoring.,0
Vaccination rates hit all-time high.,0
Government announces tax cuts for middle class.,0
Government announces tax cuts for middle class.,0
UN holds emergency meeting on global warming.,0
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
Aliens spotted dancing in downtown New York.,1
Scientists discover new species in Amazon.,0
"Phones cause mind control, experts claim.",1
Vaccination rates hit all-time high.,0
Vaccination rates hit all-time high.,0
Aliens spotted dancing in downtown New York.,1
Scientists discover new species in Amazon.,0
Aliens spotted dancing in downtown New York.,1
Vaccination rates hit all-time high.,0
Drinking garlic cures cancer overnight.,1
Government announces tax cuts for middle class.,0
Eating ice cream makes you immortal.,1
Drinking garlic cures cancer overnight.,1
Government to implant chips in all citizens.,1
Drinking garlic cures cancer overnight.,1
Drinking garlic cures cancer overnight.,1
Prime Minister visits flood-affected areas.,0
Eating ice cream makes you immortal.,1
Prime Minister visits flood-affected areas.,0
Vaccination rates hit all-time high.,0
NASA launches new satellite for climate monitoring.,0
Vaccination rates hit all-time high.,0
Eating ice cream makes you immortal.,1
Drinking garlic cures cancer overnight.,1
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
Vaccination rates hit all-time high.,0
Government to implant chips in all citizens.,1
NASA launches new satellite for climate monitoring.,0
Scientists discover new species in Amazon.,0
Man turns into wolf under full moon.,1
Government announces tax cuts for middle class.,0
Prime Minister visits flood-affected areas.,0
NASA launches new satellite for climate monitoring.,0
Vaccination rates hit all-time high.,0
Government announces tax cuts for middle class.,0
Government announces tax cuts for middle class.,0
Man turns into wolf under full moon.,1
Scientists discover new species in Amazon.,0
Vaccination rates hit all-time high.,0
UN holds emergency meeting on global warming.,0
NASA launches new satellite for climate monitoring.,0
Prime Minister visits flood-affected areas.,0
UN holds emergency meeting on global warming.,0
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
Prime Minister visits flood-affected areas.,0
Government to implant chips in all citizens.,1
Prime Minister visits flood-affected areas.,0
Eating ice cream makes you immortal.,1
Eating ice cream makes you immortal.,1
Vaccination rates hit all-time high.,0
Prime Minister visits flood-affected areas.,0
Prime Minister visits flood-affected areas.,0
Man turns into wolf under full moon.,1
Vaccination rates hit all-time high.,0
Vaccination rates hit all-time high.,0
Drinking garlic cures cancer overnight.,1
UN holds emergency meeting on global warming.,0
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
Vaccination rates hit all-time high.,0
Drinking garlic cures cancer overnight.,1
UN holds emergency meeting on global warming.,0
Vaccination rates hit all-time high.,0
Vaccination rates hit all-time high.,0
Eating ice cream makes you immortal.,1
Vaccination rates hit all-time high.,0
Vaccination rates hit all-time high.,0
"Phones cause mind control, experts claim.",1
Vaccination rates hit all-time high.,0
Eating ice cream makes you immortal.,1
NASA launches new satellite for climate monitoring.,0
Prime Minister visits flood-affected areas.,0
NASA launches new satellite for climate monitoring.,0
Man turns into wolf under full moon.,1
Drinking garlic cures cancer overnight.,1
Eating ice cream makes you immortal.,1
Drinking garlic cures cancer overnight.,1
Vaccination rates hit all-time high.,0
Government announces tax cuts for middle class.,0
Aliens spotted dancing in downtown New York.,1
Government announces tax cuts for middle class.,0
UN holds emergency meeting on global warming.,0
Vaccination rates hit all-time high.,0
NASA launches new satellite for climate monitoring.,0
Government announces tax cuts for middle class.,0
Government to implant chips in all citizens.,1
Drinking garlic cures cancer overnight.,1
Man turns into wolf under full moon.,1
Drinking garlic cures cancer overnight.,1
Eating ice cream makes you immortal.,1
NASA launches new satellite for climate monitoring.,0
UN holds emergency meeting on global warming.,0
NASA launches new satellite for climate monitoring.,0
Aliens spotted dancing in downtown New York.,1
NASA launches new satellite for climate monitoring.,0
Eating ice cream makes you immortal.,1
UN holds emergency meeting on global warming.,0
Vaccination rates hit all-time high.,0
UN holds emergency meeting on global warming.,0
Government announces tax cuts for middle class.,0
Vaccination rates hit all-time high.,0
Eating ice cream makes you immortal.,1
UN holds emergency meeting on global warming.,0
Prime Minister visits flood-affected areas.,0
UN holds emergency meeting on global warming.,0
Man turns into wolf under full moon.,1
Scientists discover new species in Amazon.,0
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
Eating ice cream makes you immortal.,1
Eating ice cream makes you immortal.,1
Aliens spotted dancing in downtown New York.,1
"Phones cause mind control, experts claim.",1
Drinking garlic cures cancer overnight.,1
NASA launches new satellite for climate monitoring.,0
Eating ice cream makes you immortal.,1
Government announces tax cuts for middle class.,0
Government announces tax cuts for middle class.,0
Scientists discover new species in Amazon.,0
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
UN holds emergency meeting on global warming.,0
Prime Minister visits flood-affected areas.,0
Drinking garlic cures cancer overnight.,1
UN holds emergency meeting on global warming.,0
"Phones cause mind control, experts claim.",1
UN holds emergency meeting on global warming.,0
Prime Minister visits flood-affected areas.,0
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
UN holds emergency meeting on global warming.,0
"Phones cause mind control, experts claim.",1
Prime Minister visits flood-affected areas.,0
Eating ice cream makes you immortal.,1
Vaccination rates hit all-time high.,0
Prime Minister visits flood-affected areas.,0
Government to implant chips in all citizens.,1
NASA launches new satellite for climate monitoring.,0
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
Man turns into wolf under full moon.,1
Prime Minister visits flood-affected areas.,0
Prime Minister visits flood-affected areas.,0
Scientists discover new species in Amazon.,0
UN holds emergency meeting on global warming.,0
Government announces tax cuts for middle class.,0
NASA launches new satellite for climate monitoring.,0
Government announces tax cuts for middle class.,0
NASA launches new satellite for climate monitoring.,0
Drinking garlic cures cancer overnight.,1
Man turns into wolf under full moon.,1
Drinking garlic cures cancer overnight.,1
NASA launches new satellite for climate monitoring.,0
UN holds emergency meeting on global warming.,0
Aliens spotted dancing in downtown New York.,1
Government to implant chips in all citizens.,1
Man turns into wolf under full moon.,1
"Phones cause mind control, experts claim.",1
Scientists discover new species in Amazon.,0
Government announces tax cuts for middle class.,0
"Phones cause mind control, experts claim.",1
"Phones cause mind control, experts claim.",1
Vaccination rates hit all-time high.,0
Aliens spotted dancing in downtown New York.,1
NASA launches new satellite for climate monitoring.,0
Scientists discover new species in Amazon.,0
Government announces tax cuts for middle class.,0
Prime Minister visits flood-affected areas.,0
"Phones cause mind control, experts claim.",1
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
Aliens spotted dancing in downtown New York.,1
Drinking garlic cures cancer overnight.,1
Prime Minister visits flood-affected areas.,0
Drinking garlic cures cancer overnight.,1
NASA launches new satellite for climate monitoring.,0
"Phones cause mind control, experts claim.",1
Man turns into wolf under full moon.,1
Aliens spotted dancing in downtown New York.,1
Aliens spotted dancing in downtown New York.,1
Prime Minister visits flood-affected areas.,0
Scientists discover new species in Amazon.,0
"Phones cause mind control, experts claim.",1
UN holds emergency meeting on global warming.,0
"Phones cause mind control, experts claim.",1
Drinking garlic cures cancer overnight.,1
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
Eating ice cream makes you immortal.,1
Government to implant chips in all citizens.,1
Prime Minister visits flood-affected areas.,0
Scientists discover new species in Amazon.,0
Eating ice cream makes you immortal.,1
NASA launches new satellite for climate monitoring.,0
Government announces tax cuts for middle class.,0
"Phones cause mind control, experts claim.",1
Eating ice cream makes you immortal.,1
Eating ice cream makes you immortal.,1
NASA launches new satellite for climate monitoring.,0
Vaccination rates hit all-time high.,0
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
Eating ice cream makes you immortal.,1
Government to implant chips in all citizens.,1
Government to implant chips in all citizens.,1
Government announces tax cuts for middle class.,0
NASA launches new satellite for climate monitoring.,0
UN holds emergency meeting on global warming.,0
Drinking garlic cures cancer overnight.,1
NASA launches new satellite for climate monitoring.,0
Scientists discover new species in Amazon.,0
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
Scientists discover new species in Amazon.,0
Vaccination rates hit all-time high.,0
"Phones cause mind control, experts claim.",1
UN holds emergency meeting on global warming.,0
Drinking garlic cures cancer overnight.,1
Aliens spotted dancing in downtown New York.,1
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
NASA launches new satellite for climate monitoring.,0
Vaccination rates hit all-time high.,0
"Phones cause mind control, experts claim.",1
Scientists discover new species in Amazon.,0
UN holds emergency meeting on global warming.,0
Drinking garlic cures cancer overnight.,1
Eating ice cream makes you immortal.,1
NASA launches new satellite for climate monitoring.,0
NASA launches new satellite for climate monitoring.,0
Scientists discover new species in Amazon.,0
"Phones cause mind control, experts claim.",1
Man turns into wolf under full moon.,1
Government to implant chips in all citizens.,1
Man turns into wolf under full moon.,1
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
Prime Minister visits flood-affected areas.,0
"Phones cause mind control, experts claim.",1
Government to implant chips in all citizens.,1
Man turns into wolf under full moon.,1
Vaccination rates hit all-time high.,0
Vaccination rates hit all-time high.,0
Government to implant chips in all citizens.,1
Government announces tax cuts for middle class.,0
Eating ice cream makes you immortal.,1
"Phones cause mind control, experts claim.",1
Eating ice cream makes you immortal.,1
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
Drinking garlic cures cancer overnight.,1
Man turns into wolf under full moon.,1
UN holds emergency meeting on global warming.,0
"Phones cause mind control, experts claim.",1
NASA launches new satellite for climate monitoring.,0
UN holds emergency meeting on global warming.,0
Eating ice cream makes you immortal.,1
Government announces tax cuts for middle class.,0
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
Eating ice cream makes you immortal.,1
Government to implant chips in all citizens.,1
Prime Minister visits flood-affected areas.,0
NASA launches new satellite for climate monitoring.,0
"Phones cause mind control, experts claim.",1
Prime Minister visits flood-affected areas.,0
Eating ice cream makes you immortal.,1
Vaccination rates hit all-time high.,0
Drinking garlic cures cancer overnight.,1
Drinking garlic cures cancer overnight.,1
"Phones cause mind control, experts claim.",1
Man turns into wolf under full moon.,1
Aliens spotted dancing in downtown New York.,1
Aliens spotted dancing in downtown New York.,1
Aliens spotted dancing in downtown New York.,1
"Phones cause mind control, experts claim.",1
Prime Minister visits flood-affected areas.,0
NASA launches new satellite for climate monitoring.,0
Eating ice cream makes you immortal.,1
NASA launches new satellite for climate monitoring.,0
Scientists discover new species in Amazon.,0
Government announces tax cuts for middle class.,0
Man turns into wolf under full moon.,1
Prime Minister visits flood-affected areas.,0
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
Drinking garlic cures cancer overnight.,1
Government announces tax cuts for middle class.,0
Vaccination rates hit all-time high.,0
Prime Minister visits flood-affected areas.,0
Eating ice cream makes you immortal.,1
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
NASA launches new satellite for climate monitoring.,0
Prime Minister visits flood-affected areas.,0
Scientists discover new species in Amazon.,0
UN holds emergency meeting on global warming.,0
Vaccination rates hit all-time high.,0
Government announces tax cuts for middle class.,0
NASA launches new satellite for climate monitoring.,0
Vaccination rates hit all-time high.,0
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
Prime Minister visits flood-affected areas.,0
NASA launches new satellite for climate monitoring.,0
UN holds emergency meeting on global warming.,0
Man turns into wolf under full moon.,1
Government announces tax cuts for middle class.,0
UN holds emergency meeting on global warming.,0
Drinking garlic cures cancer overnight.,1
Government announces tax cuts for middle class.,0
UN holds emergency meeting on global warming.,0
"Phones cause mind control, experts claim.",1
Vaccination rates hit all-time high.,0
NASA launches new satellite for climate monitoring.,0
UN holds emergency meeting on global warming.,0
Aliens spotted dancing in downtown New York.,1
Government announces tax cuts for middle class.,0
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
"Phones cause mind control, experts claim.",1
Scientists discover new species in Amazon.,0
NASA launches new satellite for climate monitoring.,0
Drinking garlic cures cancer overnight.,1
Prime Minister visits flood-affected areas.,0
Man turns into wolf under full moon.,1
UN holds emergency meeting on global warming.,0
Aliens spotted dancing in downtown New York.,1
NASA launches new satellite for climate monitoring.,0
Prime Minister visits flood-affected areas.,0
Scientists discover new species in Amazon.,0
Vaccination rates hit all-time high.,0
Aliens spotted dancing in downtown New York.,1
"Phones cause mind control, experts claim.",1
Man turns into wolf under full moon.,1
Vaccination rates hit all-time high.,0
UN holds emergency meeting on global warming.,0
NASA launches new satellite for climate monitoring.,0
UN holds emergency meeting on global warming.,0
Vaccination rates hit all-time high.,0
Vaccination rates hit all-time high.,0
Scientists discover new species in Amazon.,0
NASA launches new satellite for climate monitoring.,0
NASA launches new satellite for climate monitoring.,0
Vaccination rates hit all-time high.,0
Drinking garlic cures cancer overnight.,1
Government to implant chips in all citizens.,1
Eating ice cream makes you immortal.,1
Drinking garlic cures cancer overnight.,1
Aliens spotted dancing in downtown New York.,1
Government to implant chips in all citizens.,1
UN holds emergency meeting on global warming.,0
Man turns into wolf under full moon.,1
Drinking garlic cures cancer overnight.,1
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
Government announces tax cuts for middle class.,0
Vaccination rates hit all-time high.,0
Eating ice cream makes you immortal.,1
Vaccination rates hit all-time high.,0
UN holds emergency meeting on global warming.,0
Vaccination rates hit all-time high.,0
NASA launches new satellite for climate monitoring.,0
Government announces tax cuts for middle class.,0
Prime Minister visits flood-affected areas.,0
"Phones cause mind control, experts claim.",1
UN holds emergency meeting on global warming.,0
Scientists discover new species in Amazon.,0
"Phones cause mind control, experts claim.",1
Aliens spotted dancing in downtown New York.,1
NASA launches new satellite for climate monitoring.,0
Prime Minister visits flood-affected areas.,0
Prime Minister visits flood-affected areas.,0
Man turns into wolf under full moon.,1
Man turns into wolf under full moon.,1
Government announces tax cuts for middle class.,0
NASA launches new satellite for climate monitoring.,0
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
Vaccination rates hit all-time high.,0
"Phones cause mind control, experts claim.",1
UN holds emergency meeting on global warming.,0
Vaccination rates hit all-time high.,0
"Phones cause mind control, experts claim.",1
Scientists discover new species in Amazon.,0
Government announces tax cuts for middle class.,0
Prime Minister visits flood-affected areas.,0
Government announces tax cuts for middle class.,0
UN holds emergency meeting on global warming.,0
Eating ice cream makes you immortal.,1
Man turns into wolf under full moon.,1
Vaccination rates hit all-time high.,0
NASA launches new satellite for climate monitoring.,0
UN holds emergency meeting on global warming.,0
Aliens spotted dancing in downtown New York.,1
Government to implant chips in all citizens.,1
Prime Minister visits flood-affected areas.,0
"Phones cause mind control, experts claim.",1
Drinking garlic cures cancer overnight.,1
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
Scientists discover new species in Amazon.,0
UN holds emergency meeting on global warming.,0
NASA launches new satellite for climate monitoring.,0
UN holds emergency meeting on global warming.,0
Vaccination rates hit all-time high.,0
Aliens spotted dancing in downtown New York.,1
Prime Minister visits flood-affected areas.,0
Man turns into wolf under full moon.,1
Eating ice cream makes you immortal.,1
Vaccination rates hit all-time high.,0
Aliens spotted dancing in downtown New York.,1
Man turns into wolf under full moon.,1
Government announces tax cuts for middle class.,0
Aliens spotted dancing in downtown New York.,1
Government to implant chips in all citizens.,1
"Phones cause mind control, experts claim.",1
Man turns into wolf under full moon.,1
Prime Minister visits flood-affected areas.,0
Man turns into wolf under full moon.,1
UN holds emergency meeting on global warming.,0
Government announces tax cuts for middle class.,0
Government announces tax cuts for middle class.,0
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
Vaccination rates hit all-time high.,0
Scientists discover new species in Amazon.,0
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
"Phones cause mind control, experts claim.",1
NASA launches new satellite for climate monitoring.,0
NASA launches new satellite for climate monitoring.,0
Government to implant chips in all citizens.,1
Vaccination rates hit all-time high.,0
Eating ice cream makes you immortal.,1
UN holds emergency meeting on global warming.,0
UN holds emergency meeting on global warming.,0
Government announces tax cuts for middle class.,0
"Phones cause mind control, experts claim.",1
UN holds emergency meeting on global warming.,0
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
Drinking garlic cures cancer overnight.,1
Scientists discover new species in Amazon.,0
Drinking garlic cures cancer overnight.,1
Vaccination rates hit all-time high.,0
Scientists discover new species in Amazon.,0
Prime Minister visits flood-affected areas.,0
Prime Minister visits flood-affected areas.,0
Scientists discover new species in Amazon.,0
NASA launches new satellite for climate monitoring.,0
Drinking garlic cures cancer overnight.,1
UN holds emergency meeting on global warming.,0
Scientists discover new species in Amazon.,0
UN holds emergency meeting on global warming.,0
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
Scientists discover new species in Amazon.,0
NASA launches new satellite for climate monitoring.,0
Drinking garlic cures cancer overnight.,1
Eating ice cream makes you immortal.,1
Eating ice cream makes you immortal.,1
Eating ice cream makes you immortal.,1
Vaccination rates hit all-time high.,0
UN holds emergency meeting on global warming.,0
Eating ice cream makes you immortal.,1
Government to implant chips in all citizens.,1
Drinking garlic cures cancer overnight.,1
Vaccination rates hit all-time high.,0
Man turns into wolf under full moon.,1
Man turns into wolf under full moon.,1
Eating ice cream makes you immortal.,1
Vaccination rates hit all-time high.,0
Man turns into wolf under full moon.,1
Aliens spotted dancing in downtown New York.,1
Government announces tax cuts for middle class.,0
UN holds emergency meeting on global warming.,0
Drinking garlic cures cancer overnight.,1
Aliens spotted dancing in downtown New York.,1
Eating ice cream makes you immortal.,1
Government announces tax cuts for middle class.,0
Aliens spotted dancing in downtown New York.,1
Government announces tax cuts for middle class.,0
Vaccination rates hit all-time high.,0
Prime Minister visits flood-affected areas.,0
UN holds emergency meeting on global warming.,0
Government announces tax cuts for middle class.,0
Aliens spotted dancing in downtown New York.,1
UN holds emergency meeting on global warming.,0
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
Government announces tax cuts for middle class.,0
Drinking garlic cures cancer overnight.,1
"Phones cause mind control, experts claim.",1
Scientists discover new species in Amazon.,0
Government announces tax cuts for middle class.,0
Scientists discover new species in Amazon.,0
"Phones cause mind control, experts claim.",1
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
NASA launches new satellite for climate monitoring.,0
NASA launches new satellite for climate monitoring.,0
Eating ice cream makes you immortal.,1
UN holds emergency meeting on global warming.,0
"Phones cause mind control, experts claim.",1
Eating ice cream makes you immortal.,1
Aliens spotted dancing in downtown New York.,1
Prime Minister visits flood-affected areas.,0
Vaccination rates hit all-time high.,0
Scientists discover new species in Amazon.,0
Scientists discover new species in Amazon.,0
"Phones cause mind control, experts claim.",1
Scientists discover new species in Amazon.,0
NASA launches new satellite for climate monitoring.,0
Prime Minister visits flood-affected areas.,0
Prime Minister visits flood-affected areas.,0
Government announces tax cuts for middle class.,0
"Phones cause mind control, experts claim.",1
Prime Minister visits flood-affected areas.,0
Drinking garlic cures cancer overnight.,1
"Phones cause mind control, experts claim.",1
Vaccination rates hit all-time high.,0
Government to implant chips in all citizens.,1
UN holds emergency meeting on global warming.,0
"Phones cause mind control, experts claim.",1
Government announces tax cuts for middle class.,0
Eating ice cream makes you immortal.,1
Aliens spotted dancing in downtown New York.,1
NASA launches new satellite for climate monitoring.,0
Vaccination rates hit all-time high.,0
UN holds emergency meeting on global warming.,0
NASA launches new satellite for climate monitoring.,0
Government announces tax cuts for middle class.,0
UN holds emergency meeting on global warming.,0
Drinking garlic cures cancer overnight.,1
UN holds emergency meeting on global warming.,0
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
Aliens spotted dancing in downtown New York.,1
"Phones cause mind control, experts claim.",1
Man turns into wolf under full moon.,1
Government announces tax cuts for middle class.,0
Man turns into wolf under full moon.,1
Scientists discover new species in Amazon.,0
Drinking garlic cures cancer overnight.,1
Aliens spotted dancing in downtown New York.,1
"Phones cause mind control, experts claim.",1
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
Drinking garlic cures cancer overnight.,1
Prime Minister visits flood-affected areas.,0
UN holds emergency meeting on global warming.,0
Prime Minister visits flood-affected areas.,0
"Phones cause mind control, experts claim.",1
Government to implant chips in all citizens.,1
Aliens spotted dancing in downtown New York.,1
Scientists discover new species in Amazon.,0
Eating ice cream makes you immortal.,1
UN holds emergency meeting on global warming.,0
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
UN holds emergency meeting on global warming.,0
NASA launches new satellite for climate monitoring.,0
Prime Minister visits flood-affected areas.,0
Prime Minister visits flood-affected areas.,0
NASA launches new satellite for climate monitoring.,0
Scientists discover new species in Amazon.,0
UN holds emergency meeting on global warming.,0
Aliens spotted dancing in downtown New York.,1
Prime Minister visits flood-affected areas.,0
UN holds emergency meeting on global warming.,0
NASA launches new satellite for climate monitoring.,0
Drinking garlic cures cancer overnight.,1
Vaccination rates hit all-time high.,0
Eating ice cream makes you immortal.,1
Eating ice cream makes you immortal.,1
Prime Minister visits flood-affected areas.,0
UN holds emergency meeting on global warming.,0
Man turns into wolf under full moon.,1
UN holds emergency meeting on global warming.,0
Government to implant chips in all citizens.,1
Scientists discover new species in Amazon.,0
